Cultural,Genético,SPF,ciclo,destino,origem
0.001,0.001,0.001,0,SE,NO
0.001,0.001,0.001,0,FI,SE
0.001,0.001,0.001,0,LV,EE
0.001,0.001,0.001,1,BE,NL
0.001,0.001,0.001,1,DK,NL
0.001,0.001,0.398,1,DE,NL
0.001,0.001,0.001,1,UK,NL
0.398,0.398,0.001,1,LT,NL
0.001,0.001,0.001,1,IE,BE
0.001,0.001,0.001,1,IS,DK
0.32,0.32,0.32,1,NO,DK
0.001,0.001,0.001,1,DE,DK
0.001,0.001,0.001,1,EE,DK
0.001,0.001,0.001,1,SE,DK
0.001,0.001,0.001,1,RU,DK
1.106,1.106,1.106,1,UA,PL
0.001,0.001,0.001,1,BY,PL
0.709,0.709,0.817,1,DE,PL
0.001,0.001,0.29,1,CZ,PL
0.398,0.398,0.001,1,LT,PL
0.001,0.001,0.001,1,CZ,DE
0.001,0.001,0.316,1,LU,DE
0.316,0.316,0.42,1,CH,DE
0.441,0.441,0.441,1,CY,DE
0.001,0.001,0.001,1,IL,DE
1.149,1.149,0.441,1,AT,DE
0.316,0.316,0.316,1,RU,DE
0.863,0.863,1.152,1,SK,CZ
0.001,0.001,0.316,1,FR,LU
0.316,0.316,0.362,1,CH,FR
0.362,0.362,0.001,1,ES,FR
0.362,0.362,0.362,1,UK,FR
0.001,0.001,0.7809999999999999,1,IT,CH
0.001,0.001,0.001,1,ES,CH
0.362,0.362,0.001,1,ES,IT
0.42,0.42,0.42,1,MT,IT
0.42,0.42,0.001,1,AT,IT
0.362,0.362,0.362,1,GR,IT
0.863,0.863,0.863,1,RO,MD
0.001,0.001,0.29,1,HU,BG
0.29,0.29,0.29,1,MK,BG
0.001,0.001,0.441,1,RO,BG
0.001,0.001,0.001,1,TR,BG
0.651,0.651,0.802,1,GR,BG
0.001,0.001,0.001,1,TR,RO
1.303,1.303,0.863,1,HU,RO
0.29,0.29,0.441,1,AT,GR
0.001,0.001,0.001,1,UK,CY
0.001,0.001,0.001,1,LT,IL
0.001,0.001,0.001,1,HR,ME
0.001,0.001,0.001,1,RS,HU
0.001,0.001,0.001,1,HR,HU
1.303,1.303,1.152,1,SK,HU
0.441,0.441,0.001,1,AT,SK
0.001,0.001,0.001,1,ES,PT
0.395,0.395,0.395,1,UK,PT
0.001,0.001,0.001,1,SL,HR
0.001,0.001,0.001,1,AT,SL
0.001,0.001,0.001,1,LV,LT
0.001,0.001,0.001,1,UK,IS
0.756,0.756,0.756,1,UK,IE
0.001,0.001,0.001,1,SE,NO
0.001,0.001,0.001,1,FI,SE
0.001,0.001,0.001,1,LV,EE
0.313,0.313,0.313,2,BE,NL
0.641,0.641,0.641,2,DK,NL
0.336,0.336,1.124,2,DE,NL
0.32,0.32,0.7110000000000001,2,UK,NL
1.0610000000000002,1.0610000000000002,0.664,2,LT,NL
0.313,0.313,0.313,2,IE,BE
0.76,0.76,0.76,2,IS,DK
0.648,0.648,0.648,2,NO,DK
0.76,0.76,0.76,2,DE,DK
0.313,0.313,0.313,2,EE,DK
0.001,0.001,0.001,2,SE,DK
0.001,0.001,0.001,2,RU,DK
1.497,1.497,1.497,2,UA,PL
0.001,0.001,0.001,2,BY,PL
1.071,1.071,1.5699999999999998,2,DE,PL
0.8069999999999999,0.8069999999999999,0.705,2,CZ,PL
0.813,0.813,0.416,2,LT,PL
0.392,0.392,0.001,2,CZ,DE
0.001,0.001,0.316,2,LU,DE
0.316,0.316,0.42,2,CH,DE
1.1480000000000001,1.1480000000000001,0.757,2,CY,DE
0.398,0.398,0.398,2,IL,DE
1.8,1.8,1.092,2,AT,DE
0.316,0.316,0.316,2,RU,DE
1.278,1.278,1.567,2,SK,CZ
0.001,0.001,0.316,2,FR,LU
0.316,0.316,0.362,2,CH,FR
0.362,0.362,0.32,2,ES,FR
0.362,0.362,0.681,2,UK,FR
0.001,0.001,0.7809999999999999,2,IT,CH
0.001,0.001,0.001,2,ES,CH
0.757,0.757,0.396,2,ES,IT
0.42,0.42,0.42,2,MT,IT
0.815,0.815,0.396,2,AT,IT
0.362,0.362,0.362,2,GR,IT
0.863,0.863,0.863,2,RO,MD
0.001,0.001,0.29,2,HU,BG
0.29,0.29,0.29,2,MK,BG
0.001,0.001,0.441,2,RO,BG
0.001,0.001,0.001,2,TR,BG
0.651,0.651,0.802,2,GR,BG
0.001,0.001,0.001,2,TR,RO
1.303,1.303,0.863,2,HU,RO
0.29,0.29,0.441,2,AT,GR
0.392,0.392,0.001,2,UK,CY
0.001,0.001,0.001,2,LT,IL
0.001,0.001,0.001,2,HR,ME
0.001,0.001,0.001,2,RS,HU
0.001,0.001,0.001,2,HR,HU
1.303,1.303,1.152,2,SK,HU
0.441,0.441,0.001,2,AT,SK
0.32,0.32,0.001,2,ES,PT
0.714,0.714,0.395,2,UK,PT
0.001,0.001,0.001,2,SL,HR
0.396,0.396,0.396,2,AT,SL
0.416,0.416,0.416,2,LV,LT
0.001,0.001,0.001,2,UK,IS
0.756,0.756,0.756,2,UK,IE
0.001,0.001,0.001,2,SE,NO
0.001,0.001,0.001,2,FI,SE
0.001,0.001,0.001,2,LV,EE
0.313,0.313,0.313,3,BE,NL
0.641,0.641,1.055,3,DK,NL
0.336,0.336,2.2150000000000003,3,DE,NL
0.7030000000000001,0.7030000000000001,1.125,3,UK,NL
1.4440000000000002,1.4440000000000002,1.755,3,LT,NL
0.313,0.313,0.313,3,IE,BE
1.174,1.174,0.76,3,IS,DK
1.383,1.383,1.383,3,NO,DK
1.8529999999999998,1.8529999999999998,1.495,3,DE,DK
0.671,0.671,0.313,3,EE,DK
0.001,0.001,0.001,3,SE,DK
0.001,0.001,0.001,3,RU,DK
1.497,1.497,1.497,3,UA,PL
0.001,0.001,0.001,3,BY,PL
1.071,1.071,1.5699999999999998,3,DE,PL
0.8069999999999999,0.8069999999999999,0.705,3,CZ,PL
0.813,0.813,0.416,3,LT,PL
1.149,1.149,0.758,3,CZ,DE
0.001,0.001,0.643,3,LU,DE
0.643,0.643,0.42,3,CH,DE
1.5570000000000002,1.5570000000000002,1.549,3,CY,DE
1.075,1.075,0.7250000000000001,3,IL,DE
2.895,2.895,2.1870000000000003,3,AT,DE
0.316,0.316,0.316,3,RU,DE
1.278,1.278,1.567,3,SK,CZ
0.001,0.001,0.643,3,FR,LU
0.643,0.643,0.362,3,CH,FR
0.362,0.362,0.32,3,ES,FR
0.362,0.362,0.681,3,UK,FR
0.001,0.001,0.7809999999999999,3,IT,CH
0.001,0.001,0.001,3,ES,CH
0.757,0.757,0.396,3,ES,IT
0.42,0.42,0.42,3,MT,IT
0.815,0.815,0.396,3,AT,IT
0.362,0.362,0.362,3,GR,IT
1.2069999999999999,1.2069999999999999,1.2069999999999999,3,RO,MD
0.001,0.001,0.29,3,HU,BG
0.29,0.29,0.29,3,MK,BG
0.001,0.001,0.441,3,RO,BG
0.001,0.001,0.001,3,TR,BG
0.651,0.651,0.802,3,GR,BG
0.345,0.345,0.345,3,TR,RO
1.303,1.303,0.863,3,HU,RO
0.29,0.29,0.441,3,AT,GR
0.775,0.775,0.001,3,UK,CY
0.351,0.351,0.001,3,LT,IL
0.001,0.001,0.001,3,HR,ME
0.001,0.001,0.001,3,RS,HU
0.001,0.001,0.001,3,HR,HU
1.303,1.303,1.152,3,SK,HU
0.441,0.441,0.001,3,AT,SK
0.32,0.32,0.001,3,ES,PT
1.128,1.128,0.8089999999999999,3,UK,PT
0.388,0.388,0.388,3,SL,HR
1.133,1.133,1.133,3,AT,SL
0.7989999999999999,0.7989999999999999,1.157,3,LV,LT
0.415,0.415,0.001,3,UK,IS
0.756,0.756,0.756,3,UK,IE
0.001,0.001,0.001,3,SE,NO
0.001,0.001,0.001,3,FI,SE
0.359,0.359,0.001,3,LV,EE
0.313,0.313,1.093,4,BE,NL
0.641,0.641,1.452,4,DK,NL
0.336,0.336,2.5980000000000003,4,DE,NL
0.7030000000000001,0.7030000000000001,1.125,4,UK,NL
1.4440000000000002,1.4440000000000002,1.755,4,LT,NL
0.313,0.313,1.093,4,IE,BE
1.888,1.888,1.077,4,IS,DK
1.78,1.78,1.78,4,NO,DK
2.463,2.463,2.105,4,DE,DK
0.9630000000000001,0.9630000000000001,0.605,4,EE,DK
0.294,0.294,0.294,4,SE,DK
0.293,0.293,0.293,4,RU,DK
1.872,1.872,1.872,4,UA,PL
0.001,0.001,0.001,4,BY,PL
1.446,1.446,1.9449999999999998,4,DE,PL
0.8069999999999999,0.8069999999999999,0.705,4,CZ,PL
0.813,0.813,0.416,4,LT,PL
1.149,1.149,1.141,4,CZ,DE
0.001,0.001,1.018,4,LU,DE
1.311,1.311,0.713,4,CH,DE
1.9400000000000002,1.9400000000000002,1.549,4,CY,DE
1.075,1.075,0.7250000000000001,4,IL,DE
3.954,3.954,2.8630000000000004,4,AT,DE
0.675,0.675,0.675,4,RU,DE
1.278,1.278,1.95,4,SK,CZ
0.001,0.001,1.018,4,FR,LU
1.018,1.018,0.723,4,CH,FR
0.723,0.723,0.32,4,ES,FR
0.723,0.723,1.042,4,UK,FR
0.294,0.294,1.4349999999999998,4,IT,CH
0.001,0.001,0.001,4,ES,CH
1.1179999999999999,1.1179999999999999,0.396,4,ES,IT
1.0739999999999998,1.0739999999999998,1.0739999999999998,4,MT,IT
1.257,1.257,0.8380000000000001,4,AT,IT
0.362,0.362,0.362,4,GR,IT
1.2069999999999999,1.2069999999999999,1.2069999999999999,4,RO,MD
0.001,0.001,0.29,4,HU,BG
0.29,0.29,0.29,4,MK,BG
0.001,0.001,0.441,4,RO,BG
0.36,0.36,0.36,4,TR,BG
1.01,1.01,1.161,4,GR,BG
0.345,0.345,0.345,4,TR,RO
1.303,1.303,0.863,4,HU,RO
0.649,0.649,0.8,4,AT,GR
1.158,1.158,0.001,4,UK,CY
0.351,0.351,0.001,4,LT,IL
0.001,0.001,0.001,4,HR,ME
0.384,0.384,0.384,4,RS,HU
0.001,0.001,0.001,4,HR,HU
1.686,1.686,1.535,4,SK,HU
0.8240000000000001,0.8240000000000001,0.001,4,AT,SK
0.32,0.32,0.001,4,ES,PT
1.128,1.128,0.8089999999999999,4,UK,PT
0.7050000000000001,0.7050000000000001,0.7050000000000001,4,SL,HR
1.45,1.45,1.45,4,AT,SL
0.7989999999999999,0.7989999999999999,1.157,4,LV,LT
0.812,0.812,0.001,4,UK,IS
1.897,1.897,1.117,4,UK,IE
0.001,0.001,0.001,4,SE,NO
0.001,0.001,0.001,4,FI,SE
0.651,0.651,0.293,4,LV,EE
0.313,0.313,1.093,5,BE,NL
0.641,0.641,1.452,5,DK,NL
0.336,0.7110000000000001,2.9560000000000004,5,DE,NL
1.078,1.078,1.858,5,UK,NL
1.8190000000000002,1.4440000000000002,2.13,5,LT,NL
0.313,0.313,1.093,5,IE,BE
2.324,2.324,1.077,5,IS,DK
2.216,2.216,2.216,5,NO,DK
3.1719999999999997,3.1719999999999997,3.25,5,DE,DK
1.6720000000000002,1.6720000000000002,1.314,5,EE,DK
0.294,0.294,0.294,5,SE,DK
0.293,0.293,0.293,5,RU,DK
1.872,1.872,1.872,5,UA,PL
0.001,0.001,0.001,5,BY,PL
1.446,1.821,1.9449999999999998,5,DE,PL
0.8069999999999999,0.8069999999999999,0.705,5,CZ,PL
0.813,1.188,0.416,5,LT,PL
1.5070000000000001,1.5070000000000001,1.8310000000000002,5,CZ,DE
0.378,0.001,1.454,5,LU,DE
1.311,1.688,1.0899999999999999,5,CH,DE
2.298,2.298,1.549,5,CY,DE
1.075,1.075,0.7250000000000001,5,IL,DE
4.2860000000000005,4.2860000000000005,2.8630000000000004,5,AT,DE
0.675,0.675,0.675,5,RU,DE
1.6360000000000001,1.6360000000000001,2.6399999999999997,5,SK,CZ
0.378,0.001,1.454,5,FR,LU
1.391,1.391,1.096,5,CH,FR
1.1,0.723,0.32,5,ES,FR
1.159,1.159,1.042,5,UK,FR
0.667,0.667,1.8079999999999998,5,IT,CH
0.001,0.378,0.378,5,ES,CH
1.1179999999999999,1.1179999999999999,0.396,5,ES,IT
1.0739999999999998,1.0739999999999998,1.0739999999999998,5,MT,IT
1.257,1.257,0.8380000000000001,5,AT,IT
0.362,0.362,0.362,5,GR,IT
1.2069999999999999,1.2069999999999999,1.2069999999999999,5,RO,MD
0.001,0.001,0.29,5,HU,BG
0.29,0.29,0.29,5,MK,BG
0.001,0.001,0.441,5,RO,BG
0.36,0.36,0.36,5,TR,BG
1.01,1.01,1.161,5,GR,BG
0.345,0.345,0.345,5,TR,RO
1.303,1.303,0.863,5,HU,RO
0.649,0.649,0.8,5,AT,GR
1.516,1.516,0.001,5,UK,CY
0.351,0.351,0.001,5,LT,IL
0.001,0.001,0.001,5,HR,ME
0.384,0.384,0.384,5,RS,HU
0.001,0.001,0.001,5,HR,HU
2.018,2.018,1.867,5,SK,HU
1.1560000000000001,1.1560000000000001,0.001,5,AT,SK
0.32,0.32,0.001,5,ES,PT
1.503,1.503,1.184,5,UK,PT
0.7050000000000001,0.7050000000000001,0.7050000000000001,5,SL,HR
1.45,1.45,1.45,5,AT,SL
0.7989999999999999,0.7989999999999999,1.157,5,LV,LT
1.248,1.248,0.001,5,UK,IS
1.897,1.897,1.117,5,UK,IE
0.001,0.001,0.001,5,SE,NO
0.001,0.001,0.001,5,FI,SE
0.651,0.651,0.293,5,LV,EE
0.313,0.313,1.418,6,BE,NL
0.641,0.641,1.777,6,DK,NL
0.73,1.105,3.3500000000000005,6,DE,NL
1.078,1.078,1.858,6,UK,NL
2.213,1.838,2.524,6,LT,NL
0.313,0.313,1.418,6,IE,BE
2.649,2.649,1.077,6,IS,DK
2.216,2.216,2.216,6,NO,DK
3.925,3.925,4.003,6,DE,DK
2.0900000000000003,2.0900000000000003,1.732,6,EE,DK
0.954,0.954,0.954,6,SE,DK
0.293,0.293,0.293,6,RU,DK
1.872,1.872,1.872,6,UA,PL
0.001,0.001,0.001,6,BY,PL
1.446,1.821,1.9449999999999998,6,DE,PL
0.8069999999999999,0.8069999999999999,0.705,6,CZ,PL
0.813,1.188,0.416,6,LT,PL
2.3440000000000003,2.3440000000000003,3.0030000000000006,6,CZ,DE
0.796,0.419,1.8719999999999999,6,LU,DE
1.705,2.082,1.484,6,CH,DE
2.737,2.737,1.988,6,CY,DE
1.075,1.075,0.7250000000000001,6,IL,DE
4.621,4.621,2.8630000000000004,6,AT,DE
1.073,1.073,1.073,6,RU,DE
2.075,2.075,3.4139999999999997,6,SK,CZ
0.378,0.001,1.454,6,FR,LU
1.391,1.391,1.096,6,CH,FR
1.1,0.723,0.32,6,ES,FR
1.159,1.159,1.042,6,UK,FR
1.061,1.061,2.202,6,IT,CH
0.001,0.378,0.378,6,ES,CH
1.1179999999999999,1.1179999999999999,0.396,6,ES,IT
1.0739999999999998,1.0739999999999998,1.0739999999999998,6,MT,IT
1.5519999999999998,1.5519999999999998,1.133,6,AT,IT
0.362,0.362,0.362,6,GR,IT
1.2069999999999999,1.2069999999999999,1.2069999999999999,6,RO,MD
0.001,0.001,0.29,6,HU,BG
0.29,0.29,0.29,6,MK,BG
0.001,0.001,0.441,6,RO,BG
0.36,0.36,0.36,6,TR,BG
1.01,1.01,1.161,6,GR,BG
0.345,0.345,0.345,6,TR,RO
1.303,1.303,0.863,6,HU,RO
0.649,0.649,0.8,6,AT,GR
1.516,1.516,0.001,6,UK,CY
0.351,0.351,0.001,6,LT,IL
0.001,0.001,0.001,6,HR,ME
0.384,0.384,0.384,6,RS,HU
0.001,0.001,0.001,6,HR,HU
2.792,2.792,2.641,6,SK,HU
1.786,1.786,0.296,6,AT,SK
0.32,0.32,0.001,6,ES,PT
1.503,1.503,1.184,6,UK,PT
0.7050000000000001,0.7050000000000001,0.7050000000000001,6,SL,HR
1.45,1.45,1.45,6,AT,SL
0.7989999999999999,0.7989999999999999,1.157,6,LV,LT
1.573,1.573,0.001,6,UK,IS
2.222,2.222,1.117,6,UK,IE
0.001,0.001,0.001,6,SE,NO
0.326,0.326,0.326,6,FI,SE
0.651,0.651,0.293,6,LV,EE
0.736,0.736,1.841,7,BE,NL
1.064,1.064,2.1999999999999997,7,DK,NL
0.73,1.105,3.3500000000000005,7,DE,NL
1.078,1.078,1.858,7,UK,NL
2.213,1.838,2.524,7,LT,NL
0.313,0.313,1.418,7,IE,BE
2.649,2.649,1.077,7,IS,DK
2.216,2.216,2.216,7,NO,DK
4.651,4.651,4.729000000000001,7,DE,DK
2.4610000000000003,2.4610000000000003,2.1029999999999998,7,EE,DK
1.377,1.377,1.377,7,SE,DK
0.293,0.293,0.293,7,RU,DK
2.213,2.213,2.213,7,UA,PL
0.001,0.001,0.001,7,BY,PL
1.446,1.821,1.9449999999999998,7,DE,PL
1.148,1.148,1.046,7,CZ,PL
0.813,1.188,0.416,7,LT,PL
2.6990000000000003,2.6990000000000003,3.3580000000000005,7,CZ,DE
0.796,0.79,2.243,7,LU,DE
2.076,2.082,1.806,7,CH,DE
2.737,2.737,1.988,7,CY,DE
1.075,1.075,0.7250000000000001,7,IL,DE
4.621,4.621,3.1850000000000005,7,AT,DE
1.073,1.073,1.073,7,RU,DE
2.4160000000000004,2.4160000000000004,3.755,7,SK,CZ
0.378,0.372,1.825,7,FR,LU
1.391,1.391,1.096,7,CH,FR
1.471,0.723,0.32,7,ES,FR
1.159,1.159,1.042,7,UK,FR
1.383,1.383,2.202,7,IT,CH
0.372,0.378,0.378,7,ES,CH
1.4989999999999999,1.4989999999999999,0.777,7,ES,IT
1.0739999999999998,1.0739999999999998,1.0739999999999998,7,MT,IT
2.255,2.255,1.514,7,AT,IT
0.362,0.362,0.362,7,GR,IT
1.2069999999999999,1.2069999999999999,1.2069999999999999,7,RO,MD
0.342,0.342,0.631,7,HU,BG
0.631,0.631,0.631,7,MK,BG
0.001,0.001,0.441,7,RO,BG
0.36,0.36,0.36,7,TR,BG
1.01,1.01,1.161,7,GR,BG
0.345,0.345,0.345,7,TR,RO
1.303,1.303,0.863,7,HU,RO
0.649,0.649,0.8,7,AT,GR
1.516,1.516,0.001,7,UK,CY
0.351,0.351,0.001,7,LT,IL
0.323,0.323,0.323,7,HR,ME
0.384,0.384,0.384,7,RS,HU
0.001,0.001,0.001,7,HR,HU
3.133,3.133,2.982,7,SK,HU
1.786,1.786,0.296,7,AT,SK
0.32,0.32,0.001,7,ES,PT
1.503,1.503,1.184,7,UK,PT
1.4080000000000001,1.4080000000000001,1.4080000000000001,7,SL,HR
2.153,2.153,2.153,7,AT,SL
0.7989999999999999,0.7989999999999999,1.157,7,LV,LT
1.573,1.573,0.001,7,UK,IS
2.222,2.222,1.117,7,UK,IE
0.001,0.001,0.001,7,SE,NO
0.326,0.326,0.326,7,FI,SE
0.651,0.651,0.293,7,LV,EE
1.48,1.48,2.222,8,BE,NL
1.064,1.064,2.1999999999999997,8,DK,NL
1.093,1.468,3.3500000000000005,8,DE,NL
1.078,1.078,1.858,8,UK,NL
2.213,1.838,2.524,8,LT,NL
1.057,1.057,1.799,8,IE,BE
3.031,3.031,1.459,8,IS,DK
2.216,2.216,2.216,8,NO,DK
5.0329999999999995,5.0329999999999995,5.111000000000001,8,DE,DK
2.4610000000000003,2.4610000000000003,2.1029999999999998,8,EE,DK
1.377,1.377,1.377,8,SE,DK
0.293,0.293,0.293,8,RU,DK
2.213,2.213,2.213,8,UA,PL
0.001,0.001,0.001,8,BY,PL
1.446,1.821,1.9449999999999998,8,DE,PL
1.148,1.148,1.046,8,CZ,PL
0.813,1.188,0.416,8,LT,PL
2.6990000000000003,2.6990000000000003,3.3580000000000005,8,CZ,DE
0.796,0.79,2.243,8,LU,DE
2.076,2.082,1.806,8,CH,DE
2.737,2.737,1.988,8,CY,DE
1.075,1.075,0.7250000000000001,8,IL,DE
5.727,5.727,3.9280000000000004,8,AT,DE
1.434,1.434,1.434,8,RU,DE
2.4160000000000004,2.4160000000000004,3.755,8,SK,CZ
0.378,0.372,1.825,8,FR,LU
1.752,1.752,1.82,8,CH,FR
1.471,0.723,0.32,8,ES,FR
1.52,1.52,1.766,8,UK,FR
1.383,1.383,2.565,8,IT,CH
0.372,0.378,0.378,8,ES,CH
1.809,1.809,1.087,8,ES,IT
1.0739999999999998,1.0739999999999998,1.0739999999999998,8,MT,IT
2.565,2.255,1.824,8,AT,IT
0.362,0.6719999999999999,0.725,8,GR,IT
1.2069999999999999,1.2069999999999999,1.2069999999999999,8,RO,MD
0.342,0.342,0.631,8,HU,BG
0.631,0.631,0.631,8,MK,BG
0.001,0.001,0.441,8,RO,BG
1.105,1.105,1.105,8,TR,BG
1.755,1.755,1.9060000000000001,8,GR,BG
0.345,0.345,0.345,8,TR,RO
1.303,1.303,0.863,8,HU,RO
1.3940000000000001,1.7040000000000002,1.182,8,AT,GR
1.516,1.516,0.001,8,UK,CY
0.351,0.351,0.001,8,LT,IL
0.323,0.323,0.323,8,HR,ME
0.384,0.384,0.384,8,RS,HU
0.001,0.001,0.001,8,HR,HU
3.133,3.133,2.982,8,SK,HU
2.096,2.096,0.606,8,AT,SK
0.32,0.32,0.001,8,ES,PT
1.503,1.503,1.184,8,UK,PT
1.4080000000000001,1.4080000000000001,1.4080000000000001,8,SL,HR
2.5140000000000002,2.5140000000000002,2.5140000000000002,8,AT,SL
0.7989999999999999,0.7989999999999999,1.157,8,LV,LT
1.573,1.573,0.001,8,UK,IS
2.583,2.583,1.841,8,UK,IE
0.001,0.001,0.001,8,SE,NO
0.326,0.326,0.326,8,FI,SE
0.651,0.651,0.293,8,LV,EE
1.785,1.785,2.527,9,BE,NL
1.064,1.064,2.1999999999999997,9,DK,NL
1.398,1.773,3.6550000000000007,9,DE,NL
1.078,1.078,1.858,9,UK,NL
2.213,1.838,2.524,9,LT,NL
1.057,1.057,1.799,9,IE,BE
3.031,3.031,1.459,9,IS,DK
2.567,2.567,2.567,9,NO,DK
5.0329999999999995,5.0329999999999995,5.111000000000001,9,DE,DK
2.8120000000000003,2.8120000000000003,2.4539999999999997,9,EE,DK
1.377,1.377,1.377,9,SE,DK
0.293,0.293,0.293,9,RU,DK
2.213,2.213,2.213,9,UA,PL
0.001,0.001,0.001,9,BY,PL
1.446,1.821,1.9449999999999998,9,DE,PL
1.536,1.536,1.4340000000000002,9,CZ,PL
1.201,1.576,0.804,9,LT,PL
2.6990000000000003,2.6990000000000003,3.6630000000000007,9,CZ,DE
1.625,1.619,3.072,9,LU,DE
2.452,2.4579999999999997,2.182,9,CH,DE
2.737,2.737,1.988,9,CY,DE
1.451,1.451,1.101,9,IL,DE
6.415,6.415,4.311,9,AT,DE
1.88,1.88,1.88,9,RU,DE
2.8040000000000003,2.8040000000000003,4.4479999999999995,9,SK,CZ
0.8240000000000001,0.8180000000000001,2.271,9,FR,LU
1.752,1.752,1.82,9,CH,FR
1.471,0.723,0.32,9,ES,FR
1.52,1.52,1.766,9,UK,FR
1.827,1.827,3.009,9,IT,CH
0.372,0.378,0.378,9,ES,CH
1.809,1.809,1.087,9,ES,IT
1.0739999999999998,1.0739999999999998,1.0739999999999998,9,MT,IT
2.565,2.255,1.824,9,AT,IT
0.806,1.1159999999999999,1.169,9,GR,IT
1.5949999999999998,1.5949999999999998,1.5949999999999998,9,RO,MD
0.342,0.342,0.631,9,HU,BG
0.631,0.631,0.631,9,MK,BG
0.445,0.445,0.885,9,RO,BG
1.105,1.105,1.105,9,TR,BG
2.199,2.199,2.35,9,GR,BG
0.345,0.345,0.345,9,TR,RO
1.6909999999999998,1.6909999999999998,1.251,9,HU,RO
1.3940000000000001,1.7040000000000002,1.182,9,AT,GR
1.516,1.516,0.001,9,UK,CY
0.351,0.351,0.001,9,LT,IL
0.323,0.323,0.323,9,HR,ME
0.384,0.384,0.384,9,RS,HU
0.378,0.378,0.378,9,HR,HU
3.521,3.521,3.37,9,SK,HU
2.4010000000000002,2.4010000000000002,0.606,9,AT,SK
0.32,0.32,0.001,9,ES,PT
1.503,1.503,1.184,9,UK,PT
1.7850000000000001,1.7850000000000001,1.7850000000000001,9,SL,HR
2.5140000000000002,2.5140000000000002,2.5140000000000002,9,AT,SL
0.7989999999999999,0.7989999999999999,1.157,9,LV,LT
1.573,1.573,0.001,9,UK,IS
2.583,2.583,1.841,9,UK,IE
0.001,0.001,0.001,9,SE,NO
0.326,0.326,0.326,9,FI,SE
0.651,0.651,0.293,9,LV,EE
2.235,2.235,2.527,10,BE,NL
1.467,1.064,2.1999999999999997,10,DK,NL
2.694,2.666,4.098000000000001,10,DE,NL
1.078,1.078,1.858,10,UK,NL
2.213,1.838,2.524,10,LT,NL
1.507,1.507,1.799,10,IE,BE
3.031,3.031,1.459,10,IS,DK
2.97,2.97,2.97,10,NO,DK
5.0329999999999995,5.436,5.514000000000001,10,DE,DK
2.8120000000000003,2.8120000000000003,2.4539999999999997,10,EE,DK
1.377,1.377,1.377,10,SE,DK
0.293,0.293,0.293,10,RU,DK
2.5500000000000003,2.5500000000000003,2.5500000000000003,10,UA,PL
0.8520000000000001,0.8520000000000001,0.8520000000000001,10,BY,PL
2.634,3.0090000000000003,3.133,10,DE,PL
1.536,1.536,1.4340000000000002,10,CZ,PL
1.201,1.576,0.804,10,LT,PL
3.0620000000000003,3.0620000000000003,3.6630000000000007,10,CZ,DE
1.625,1.619,3.072,10,LU,DE
3.1380000000000003,3.1439999999999997,3.316,10,CH,DE
3.1,3.1,1.988,10,CY,DE
1.8,1.8,1.45,10,IL,DE
