ciclo,origem,destino,Cultural,SPF,Genético
4,SNFN,SLKC,0.001,0.001,0.001
4,SNFN,LA03,1.181,0.8180000000000001,1.181
4,SCRM,SLKC,0.445,0.001,0.445
4,PTLD,STTL,0.418,0.001,0.418
4,SLKC,LA03,0.62,0.292,0.62
4,LA03,SNDG,1.367,1.367,1.367
4,LA03,PHNX,0.001,0.001,0.001
4,SNDG,PHNX,0.655,0.655,0.655
5,NY54,CMBR,0.376,0.376,0.376
5,NY54,CHCG,1.459,1.903,1.459
5,NY54,PHLA,0.411,0.411,0.411
5,NY54,WASH,0.702,1.146,0.702
5,CMBR,PHLA,0.316,0.316,0.316
5,CHCG,CLEV,0.001,0.001,0.001
5,CHCG,PHLA,1.273,0.829,1.273
5,CHCG,STLS,0.821,2.233,1.201
5,CHCG,DNVR,0.7290000000000001,0.7290000000000001,0.7290000000000001
5,CHCG,KSCY,0.001,0.001,0.001
5,CHCG,SNFN,0.744,1.203,0.364
5,CHCG,STTL,0.418,0.001,0.418
5,CHCG,SLKC,0.8200000000000001,0.704,0.8200000000000001
5,CLEV,NSVL,0.001,0.357,0.001
5,CLEV,STLS,0.357,0.001,0.357
5,CLEV,PHLA,0.316,0.316,0.316
5,RLGH,ATLN,0.7809999999999999,0.7809999999999999,0.7809999999999999
5,RLGH,WASH,0.001,0.001,0.001
5,ATLN,WASH,0.643,0.643,0.643
5,ATLN,NSVL,0.419,0.7749999999999999,0.419
5,ATLN,STLS,0.8,0.751,0.8
5,ATLN,DLLS,0.633,2.113,0.633
5,ATLN,ORLD,0.698,1.091,0.698
5,PHLA,WASH,0.445,0.001,0.445
5,NSVL,STLS,0.001,0.001,0.001
5,NSVL,DLLS,0.366,0.366,0.366
5,STLS,DLLS,0.89,1.27,1.27
5,STLS,KSCY,1.155,0.8140000000000001,1.155
5,STLS,LA03,0.329,0.671,0.329
5,NWOR,HSTN,0.001,0.001,0.001
5,NWOR,DLLS,1.7690000000000001,1.485,1.7690000000000001
5,NWOR,ORLD,1.453,0.445,1.453
5,HSTN,SNAN,0.001,0.001,0.001
5,HSTN,DLLS,1.678,1.569,1.678
5,HSTN,ORLD,0.78,0.001,0.78
5,SNAN,PHNX,0.363,0.363,0.363
5,SNAN,DLLS,0.444,0.444,0.444
5,DLLS,DNVR,0.34400000000000003,0.664,0.664
5,DLLS,KSCY,0.001,0.001,0.001
5,DLLS,SNFN,3.3029999999999995,2.6029999999999998,2.6029999999999998
5,DLLS,LA03,0.651,0.34400000000000003,0.651
5,DNVR,KSCY,0.001,0.001,0.001
5,DNVR,SNFN,0.446,0.446,0.766
5,DNVR,SLKC,0.001,0.321,0.001
5,KSCY,SNFN,0.342,0.001,0.342
5,SNFN,SCRM,1.776,2.22,1.776
5,SNFN,PTLD,1.6280000000000001,2.045,1.6280000000000001
5,SNFN,STTL,0.712,0.712,0.712
5,SNFN,SLKC,0.321,0.001,0.321
5,SNFN,LA03,1.181,0.8180000000000001,1.181
5,SCRM,SLKC,0.445,0.001,0.445
5,PTLD,STTL,0.418,0.001,0.418
5,SLKC,LA03,1.043,0.715,1.043
5,LA03,SNDG,1.367,1.367,1.367
5,LA03,PHNX,0.001,0.001,0.001
5,SNDG,PHNX,0.655,0.655,0.655
6,NY54,CMBR,0.376,0.376,0.376
6,NY54,CHCG,1.459,1.903,1.459
6,NY54,PHLA,0.411,0.411,0.411
6,NY54,WASH,1.105,1.549,1.105
6,CMBR,PHLA,0.316,0.316,0.316
6,CHCG,CLEV,0.001,0.001,0.001
6,CHCG,PHLA,1.273,0.829,1.273
6,CHCG,STLS,0.821,2.5300000000000002,1.201
6,CHCG,DNVR,0.7290000000000001,0.7290000000000001,0.7290000000000001
6,CHCG,KSCY,0.001,0.001,0.001
6,CHCG,SNFN,0.744,1.5,0.364
6,CHCG,STTL,0.418,0.001,0.418
6,CHCG,SLKC,0.8200000000000001,0.704,0.8200000000000001
6,CLEV,NSVL,0.001,0.357,0.001
6,CLEV,STLS,0.357,0.001,0.357
6,CLEV,PHLA,0.316,0.316,0.316
6,RLGH,ATLN,0.7809999999999999,0.7809999999999999,0.7809999999999999
6,RLGH,WASH,0.001,0.001,0.001
6,ATLN,WASH,1.046,1.046,1.046
6,ATLN,NSVL,0.419,0.7749999999999999,0.419
6,ATLN,STLS,1.212,1.163,1.212
6,ATLN,DLLS,0.97,2.853,0.97
6,ATLN,ORLD,1.8499999999999999,1.8399999999999999,1.8499999999999999
6,PHLA,WASH,0.445,0.001,0.445
6,NSVL,STLS,0.001,0.001,0.001
6,NSVL,DLLS,0.366,0.366,0.366
6,STLS,DLLS,0.89,1.27,1.27
6,STLS,KSCY,1.567,1.226,1.567
6,STLS,LA03,0.626,0.671,0.626
6,NWOR,HSTN,0.001,0.001,0.001
6,NWOR,DLLS,2.065,1.7810000000000001,2.065
6,NWOR,ORLD,1.453,0.445,1.453
6,HSTN,SNAN,0.001,0.001,0.001
6,HSTN,DLLS,1.678,1.972,1.678
6,HSTN,ORLD,1.183,0.001,1.183
6,SNAN,PHNX,0.363,0.363,0.363
6,SNAN,DLLS,0.444,0.444,0.444
6,DLLS,DNVR,0.34400000000000003,0.664,0.96
6,DLLS,KSCY,0.001,0.001,0.001
6,DLLS,SNFN,4.371999999999999,3.6719999999999997,3.376
6,DLLS,LA03,0.651,0.34400000000000003,0.651
6,DNVR,KSCY,0.001,0.001,0.001
6,DNVR,SNFN,0.446,0.446,1.062
6,DNVR,SLKC,0.001,0.321,0.001
6,KSCY,SNFN,0.342,0.001,0.342
6,SNFN,SCRM,2.777,3.221,2.777
6,SNFN,PTLD,1.6280000000000001,2.045,1.6280000000000001
6,SNFN,STTL,1.9659999999999997,1.9659999999999997,1.9659999999999997
6,SNFN,SLKC,0.321,0.001,0.321
6,SNFN,LA03,1.928,1.268,1.928
6,SCRM,SLKC,0.445,0.001,0.445
6,PTLD,STTL,0.418,0.001,0.418
6,SLKC,LA03,1.043,0.715,1.043
6,LA03,SNDG,1.817,1.817,1.817
6,LA03,PHNX,0.001,0.001,0.001
6,SNDG,PHNX,0.655,0.655,0.655
7,NY54,CMBR,0.376,0.376,0.376
7,NY54,CHCG,1.85,2.294,1.85
7,NY54,PHLA,0.411,0.411,0.411
7,NY54,WASH,1.105,1.549,1.105
7,CMBR,PHLA,0.316,0.316,0.316
7,CHCG,CLEV,0.001,0.001,0.001
7,CHCG,PHLA,1.658,1.214,1.658
7,CHCG,STLS,0.821,2.5300000000000002,1.201
7,CHCG,DNVR,1.12,1.12,1.12
7,CHCG,KSCY,0.001,0.001,0.001
7,CHCG,SNFN,0.744,1.885,0.364
7,CHCG,STTL,0.418,0.001,0.418
7,CHCG,SLKC,1.205,0.704,1.205
7,CLEV,NSVL,0.001,0.357,0.001
7,CLEV,STLS,0.357,0.001,0.357
7,CLEV,PHLA,0.622,0.622,0.622
7,RLGH,ATLN,1.0739999999999998,1.0739999999999998,1.0739999999999998
7,RLGH,WASH,0.001,0.001,0.001
7,ATLN,WASH,1.046,1.046,1.046
7,ATLN,NSVL,0.419,0.7749999999999999,0.419
7,ATLN,STLS,1.505,1.456,1.505
7,ATLN,DLLS,0.97,2.853,0.97
7,ATLN,ORLD,1.8499999999999999,1.8399999999999999,1.8499999999999999
7,PHLA,WASH,0.751,0.307,0.751
7,NSVL,STLS,0.001,0.001,0.001
7,NSVL,DLLS,0.366,0.366,0.366
7,STLS,DLLS,0.89,1.27,1.27
7,STLS,KSCY,1.567,1.226,1.567
7,STLS,LA03,0.626,0.671,0.626
7,NWOR,HSTN,0.001,0.001,0.001
7,NWOR,DLLS,2.065,1.7810000000000001,2.065
7,NWOR,ORLD,1.453,0.445,1.453
7,HSTN,SNAN,0.001,0.001,0.001
7,HSTN,DLLS,1.678,1.972,1.678
7,HSTN,ORLD,1.183,0.001,1.183
7,SNAN,PHNX,0.363,0.363,0.363
7,SNAN,DLLS,0.444,0.444,0.444
7,DLLS,DNVR,0.34400000000000003,0.664,0.96
7,DLLS,KSCY,0.001,0.001,0.001
7,DLLS,SNFN,4.710999999999999,4.011,3.715
7,DLLS,LA03,0.651,0.34400000000000003,0.651
7,DNVR,KSCY,0.001,0.001,0.001
7,DNVR,SNFN,1.024,1.024,1.64
7,DNVR,SLKC,0.001,0.321,0.001
7,KSCY,SNFN,0.342,0.001,0.342
7,SNFN,SCRM,2.777,3.606,2.777
7,SNFN,PTLD,2.21,2.6270000000000002,2.21
7,SNFN,STTL,2.3,2.3,2.3
7,SNFN,SLKC,0.321,0.001,0.321
7,SNFN,LA03,2.262,1.602,2.262
7,SCRM,SLKC,0.8300000000000001,0.001,0.8300000000000001
7,PTLD,STTL,0.418,0.001,0.418
7,SLKC,LA03,1.043,0.715,1.043
7,LA03,SNDG,1.817,1.817,1.817
7,LA03,PHNX,0.001,0.001,0.001
7,SNDG,PHNX,0.655,0.655,0.655
8,NY54,CMBR,0.71,1.0390000000000001,0.71
8,NY54,CHCG,1.85,2.294,1.85
8,NY54,PHLA,0.7629999999999999,0.7629999999999999,0.7629999999999999
8,NY54,WASH,1.439,2.2119999999999997,1.439
8,CMBR,PHLA,0.645,0.316,0.645
8,CHCG,CLEV,0.001,0.001,0.001
8,CHCG,PHLA,1.658,1.214,1.658
8,CHCG,STLS,0.821,2.5300000000000002,1.201
8,CHCG,DNVR,1.12,1.12,1.12
8,CHCG,KSCY,0.001,0.001,0.001
8,CHCG,SNFN,0.744,1.885,0.364
8,CHCG,STTL,0.418,0.363,0.418
8,CHCG,SLKC,1.205,1.0659999999999998,1.205
8,CLEV,NSVL,0.314,0.6699999999999999,0.314
8,CLEV,STLS,0.357,0.001,0.357
8,CLEV,PHLA,0.622,0.622,0.622
8,RLGH,ATLN,1.0739999999999998,1.0739999999999998,1.0739999999999998
8,RLGH,WASH,0.001,0.001,0.001
8,ATLN,WASH,1.3800000000000001,1.3800000000000001,1.3800000000000001
8,ATLN,NSVL,0.419,0.7749999999999999,0.419
8,ATLN,STLS,1.505,1.456,1.505
8,ATLN,DLLS,0.97,2.853,0.97
8,ATLN,ORLD,2.1839999999999997,2.174,2.1839999999999997
8,PHLA,WASH,1.08,0.307,1.08
8,NSVL,STLS,0.001,0.001,0.001
8,NSVL,DLLS,0.366,0.366,0.366
8,STLS,DLLS,0.89,1.27,1.27
8,STLS,KSCY,1.567,1.226,1.567
8,STLS,LA03,0.626,0.671,0.626
8,NWOR,HSTN,0.001,0.001,0.001
8,NWOR,DLLS,2.065,1.7810000000000001,2.065
8,NWOR,ORLD,1.453,0.445,1.453
8,HSTN,SNAN,0.001,0.001,0.001
8,HSTN,DLLS,1.678,1.972,1.678
8,HSTN,ORLD,1.183,0.001,1.183
8,SNAN,PHNX,0.363,0.363,0.363
8,SNAN,DLLS,0.444,0.444,0.444
8,DLLS,DNVR,0.34400000000000003,0.664,0.96
8,DLLS,KSCY,0.001,0.001,0.001
8,DLLS,SNFN,4.710999999999999,4.011,3.715
8,DLLS,LA03,0.651,0.34400000000000003,0.651
8,DNVR,KSCY,0.001,0.001,0.001
8,DNVR,SNFN,1.024,1.024,1.64
8,DNVR,SLKC,0.001,0.321,0.001
8,KSCY,SNFN,0.342,0.001,0.342
8,SNFN,SCRM,2.777,3.606,2.777
8,SNFN,PTLD,2.21,2.6270000000000002,2.21
8,SNFN,STTL,2.662,2.3,2.662
8,SNFN,SLKC,0.683,0.001,0.683
8,SNFN,LA03,2.262,1.602,2.262
8,SCRM,SLKC,0.8300000000000001,0.001,0.8300000000000001
8,PTLD,STTL,0.418,0.001,0.418
8,SLKC,LA03,1.043,0.715,1.043
8,LA03,SNDG,1.817,1.817,1.817
8,LA03,PHNX,0.313,0.313,0.313
8,SNDG,PHNX,0.655,0.655,0.655
9,NY54,CMBR,0.71,1.0390000000000001,0.71
9,NY54,CHCG,1.85,2.726,1.85
9,NY54,PHLA,0.7629999999999999,0.7629999999999999,0.7629999999999999
9,NY54,WASH,1.439,2.6439999999999997,1.439
9,CMBR,PHLA,0.645,0.316,0.645
9,CHCG,CLEV,0.001,0.001,0.001
9,CHCG,PHLA,2.09,1.214,2.09
9,CHCG,STLS,0.821,2.9690000000000003,1.201
9,CHCG,DNVR,1.12,1.12,1.12
9,CHCG,KSCY,0.44,0.001,0.44
9,CHCG,SNFN,0.744,1.885,0.364
9,CHCG,STTL,0.418,0.363,0.418
9,CHCG,SLKC,1.205,1.0659999999999998,1.205
9,CLEV,NSVL,0.314,0.972,0.314
9,CLEV,STLS,0.659,0.001,0.659
9,CLEV,PHLA,0.622,0.622,0.622
9,RLGH,ATLN,1.0739999999999998,1.0739999999999998,1.0739999999999998
9,RLGH,WASH,0.001,0.001,0.001
9,ATLN,WASH,1.3800000000000001,1.3800000000000001,1.3800000000000001
9,ATLN,NSVL,0.419,0.7749999999999999,0.419
9,ATLN,STLS,1.505,1.456,1.505
9,ATLN,DLLS,0.97,2.853,0.97
9,ATLN,ORLD,2.1839999999999997,2.174,2.1839999999999997
9,PHLA,WASH,1.512,0.307,1.512
9,NSVL,STLS,0.001,0.001,0.001
9,NSVL,DLLS,0.366,0.6679999999999999,0.366
9,STLS,DLLS,1.192,1.709,1.572
9,STLS,KSCY,1.902,1.561,1.902
9,STLS,LA03,0.626,0.671,0.626
9,NWOR,HSTN,0.001,0.001,0.001
9,NWOR,DLLS,2.816,2.532,2.816
9,NWOR,ORLD,1.453,0.445,1.453
9,HSTN,SNAN,0.001,0.001,0.001
9,HSTN,DLLS,2.117,2.411,2.117
9,HSTN,ORLD,1.183,0.001,1.183
9,SNAN,PHNX,0.363,0.363,0.363
9,SNAN,DLLS,0.746,0.746,0.746
9,DLLS,DNVR,0.34400000000000003,0.664,0.96
9,DLLS,KSCY,0.44,0.001,0.44
9,DLLS,SNFN,4.710999999999999,4.011,3.715
9,DLLS,LA03,0.9890000000000001,0.682,0.9890000000000001
9,DNVR,KSCY,0.001,0.001,0.001
9,DNVR,SNFN,1.024,1.024,1.64
9,DNVR,SLKC,0.001,0.321,0.001
9,KSCY,SNFN,0.663,0.322,0.663
9,SNFN,SCRM,2.777,3.606,2.777
9,SNFN,PTLD,2.531,2.9480000000000004,2.531
9,SNFN,STTL,2.662,2.3,2.662
9,SNFN,SLKC,0.683,0.001,0.683
9,SNFN,LA03,2.262,1.602,2.262
9,SCRM,SLKC,0.8300000000000001,0.001,0.8300000000000001
9,PTLD,STTL,0.418,0.001,0.418
9,SLKC,LA03,1.043,0.715,1.043
9,LA03,SNDG,1.817,1.817,1.817
9,LA03,PHNX,0.313,0.313,0.313
9,SNDG,PHNX,0.655,0.655,0.655
